SYMBOL, SERIES, DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY, DELIV_PER
QUICKHEAL, EQ, 18-Sep-2019,120.05,121.5,144,120.2,139.4,138.25,136.57,2870235,3919.99,41697,238672,8.32
QUINTEGRA, BE, 18-Sep-2019,0.25,0.25,0.3,0.2,0.3,0.3,0.25,20563,0.05,26, -, -
RADAAN, EQ, 18-Sep-2019,1.5,1.55,1.55,1.35,1.5,1.5,1.37,6539,0.09,18,5620,85.95
RADICO, EQ, 18-Sep-2019,301.35,304,308.7,299.55,301.5,300.9,304.34,349619,1064.04,25266,196802,56.29
RADIOCITY, EQ, 18-Sep-2019,37.65,39,39,37.05,37.05,37.2,37.65,10199,3.84,190,7889,77.35
RAIN, EQ, 18-Sep-2019,102.5,103.7,108,100.1,101.8,101.9,103.86,2590430,2690.3,20149,715629,27.63
RAJESHEXPO, EQ, 18-Sep-2019,673.6,677.75,679.9,673.5,674.5,675.2,677.11,264683,1792.19,5277,77713,29.36
RAJRAYON, BZ, 18-Sep-2019,0.05,0.05,0.05,0.05,0.05,0.05,0.05,64565,0.03,16, -, -
RAJSREESUG, EQ, 18-Sep-2019,18.6,18.75,19.3,18.35,18.75,18.65,18.82,13156,2.48,71,9012,68.5
RAJTV, BZ, 18-Sep-2019,42,44.05,44.05,41.05,42,42,41.97,1393,0.58,13, -, -
RALLIS, EQ, 18-Sep-2019,165.45,167,168.5,162.4,164,163.85,164.79,71792,118.3,2089,42492,59.19
RAMANEWS, EQ, 18-Sep-2019,17.6,17.5,18.85,17.25,17.65,18,18,13417,2.42,156,5465,40.73
RAMASTEEL, EQ, 18-Sep-2019,58.95,61.95,62,59.05,60.5,60.5,60.27,1169,0.7,70,1019,87.17
RAMCOCEM, EQ, 18-Sep-2019,718.45,723.85,727.6,708.85,722.7,723.2,716.43,337274,2416.35,20215,114800,34.04
RAMCOIND, EQ, 18-Sep-2019,176.85,176.65,181,174.1,181,179.45,177.47,45252,80.31,470,41293,91.25
RAMCOSYS, EQ, 18-Sep-2019,176.05,179.1,179.15,173,174.45,175.3,175.4,8542,14.98,307,6890,80.66
RAMKY, EQ, 18-Sep-2019,66.35,66.95,67.15,60.1,63,63.3,63.71,101530,64.69,1039,52046,51.26
RANASUG, EQ, 18-Sep-2019,2.5,2.5,2.55,2.4,2.4,2.45,2.48,170199,4.22,136,118207,69.45
RANEENGINE, EQ, 18-Sep-2019,278.25,283,287.5,275,279,277.9,279.39,943,2.63,66,824,87.38
RANEHOLDIN, EQ, 18-Sep-2019,922.75,928.7,944,902.65,914,916.2,937.29,6361,59.62,118,6117,96.16
RATNAMANI, EQ, 18-Sep-2019,925,936.7,936.9,912.05,920,916.95,919.03,1517,13.94,279,740,48.78
RAYMOND, EQ, 18-Sep-2019,567.3,568.9,579,561.4,563,563.3,568.32,595396,3383.76,21966,117182,19.68
RBL, EQ, 18-Sep-2019,537.65,536,547.4,523.4,526.5,528.45,535.35,4548,24.35,627,1347,29.62
RBLBANK, EQ, 18-Sep-2019,351.35,354,357.95,346.3,348.15,348.9,352.65,5161056,18200.52,53178,591675,11.46
RCF, EQ, 18-Sep-2019,44.2,44.55,44.7,43.6,44.05,44,44.08,481065,212.03,2056,164668,34.23
RCOM, EQ, 18-Sep-2019,0.95,0.95,0.95,0.9,0.95,0.9,0.93,6969170,64.66,2813,5502460,78.95
RECLTD, EQ, 18-Sep-2019,136.7,137.6,138,130.9,131.85,132.25,133.55,8945420,11947,55412,3351847,37.47
RECLTD, N2, 18-Sep-2019,1160.04,1160.1,1161.6,1160.1,1161,1161.04,1161.04,1005,11.67,5,1005,100
RECLTD, N9, 18-Sep-2019,1289,1285,1285,1283,1283,1283,1283.57,70,0.9,2,70,100
RECLTD, NF, 18-Sep-2019,1290,1291,1299,1291,1299,1299,1293.67,30,0.39,3,30,100
RECLTD, NH, 18-Sep-2019,1235,1240,1240,1240,1240,1240,1240,107,1.33,1,107,100
REDINGTON, EQ, 18-Sep-2019,103.2,105.3,105.3,101.1,104.3,104.6,103.25,51410,53.08,1739,20796,40.45
REFEX, EQ, 18-Sep-2019,79.25,75.3,75.3,75.3,75.3,75.3,75.3,14982,11.28,142,14982,100
REGENCERAM, BE, 18-Sep-2019,1.75,1.7,1.7,1.7,1.7,1.7,1.7,542,0.01,3, -, -
RELAXO, EQ, 18-Sep-2019,481.65,486.75,489.45,476.05,476.8,478,481.58,81656,393.24,8030,36089,44.2
RELCAPITAL, EQ, 18-Sep-2019,35.1,35.3,36.1,34.45,35.4,35.1,35.26,18164504,6405.54,36414,1013240,5.58
RELCNX100, EQ, 18-Sep-2019,113.45,113.51,113.96,112.36,113.74,113.24,113.07,802,0.91,14,797,99.38
RELCONS, EQ, 18-Sep-2019,49.47,48.5,49.4,48.5,48.87,48.87,49.18,1581,0.78,17,1406,88.93
RELDIVOPP, EQ, 18-Sep-2019,28.6,27.7,32.9,27.7,28.66,28.66,28.73,63,0.02,18,57,90.48
RELIANCE, EQ, 18-Sep-2019,1197.45,1204.95,1216.3,1197.2,1209,1205.7,1205.99,6827281,82336.52,202069,2038379,29.86
RELIGARE, EQ, 18-Sep-2019,32.35,32.25,33,31.6,32,31.9,32.47,236272,76.71,784,226419,95.83
RELINFRA, EQ, 18-Sep-2019,38.15,38.7,39.1,37.05,37.75,37.45,38.03,16051116,6103.56,41426,931011,5.8
RELNV20, EQ, 18-Sep-2019,553.68,553.68,556,553.68,556,556,555.06,71,0.39,16,70,98.59
REMSONSIND, EQ, 18-Sep-2019,87.75,83.3,96,83.3,86.1,85.7,87.22,21324,18.6,129,5710,26.78
RENUKA, EQ, 18-Sep-2019,8.05,8,8.15,7.85,7.9,7.9,7.95,267540,21.27,827,156362,58.44
REPCOHOME, EQ, 18-Sep-2019,321.7,324,325.9,319.15,320.1,320.25,322.23,40442,130.31,3426,20435,50.53
REPL, SM, 18-Sep-2019,27,27,27,27,27,27,27,3000,0.81,1,3000,100
REPRO, EQ, 18-Sep-2019,532.75,538,565.95,531,565,561.6,551.55,4551,25.1,347,3459,76.01
RESPONIND, EQ, 18-Sep-2019,96.05,95.1,97.8,94.05,94.05,95.75,96.06,204281,196.23,5430,51080,25
RETFMID150, EQ, 18-Sep-2019,57.16,56.99,57.82,56.99,57.54,57.54,57.58,30171,17.37,31,27549,91.31
REVATHI, EQ, 18-Sep-2019,386,408,408,365.4,397.4,389.05,383.73,183,0.7,34,65,35.52
RGL, EQ, 18-Sep-2019,265.6,262,273,262,269.95,269.95,268.16,2153,5.77,264,1459,67.77
RHFL, EQ, 18-Sep-2019,5.65,5.75,5.75,5.5,5.5,5.6,5.64,333147,18.78,390,198944,59.72
RHFL, N2, 18-Sep-2019,485,500,500,500,500,500,500,14,0.07,2,14,100
RHFL, N4, 18-Sep-2019,415,415,415,415,415,415,415,50,0.21,3,50,100
RHFL, N6, 18-Sep-2019,378.5,350,370,350,370,370,361.92,344,1.25,6,344,100
RICOAUTO, EQ, 18-Sep-2019,42.7,42.25,43.5,41.15,41.6,41.55,42.12,290940,122.54,1850,162335,55.8
RIIL, EQ, 18-Sep-2019,265.45,268,271.95,264,265.75,265.6,268.07,207146,555.29,4640,31271,15.1
RITES, EQ, 18-Sep-2019,233.55,234.85,237.55,234.85,235,235.15,235.18,320753,754.36,4506,250215,78.01
RKDL, BE, 18-Sep-2019,6.9,6.9,6.9,6.7,6.7,6.7,6.86,188,0.01,3, -, -
RKEC, SM, 18-Sep-2019,44.95,44.5,45,44.25,45,44.8,44.82,19000,8.52,18,16000,84.21
