SYMBOL, SERIES, DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY, DELIV_PER
SCI, EQ, 18-Sep-2019,34.95,35.1,35.65,33.25,34.5,34.55,34.97,493559,172.62,3155,186836,37.85
SDBL, BE, 18-Sep-2019,120.05,124.9,124.9,118,121.05,120.9,121.62,1301,1.58,42, -, -
SEAMECLTD, EQ, 18-Sep-2019,340.65,345.95,347.95,340.6,347.95,347.45,345.51,22332,77.16,225,20879,93.49
SECL, ST, 18-Sep-2019,37.25,37.4,37.75,37.4,37.5,37.5,37.45,84000,31.46,7,84000,100
SECURCRED, SM, 18-Sep-2019,55.95,53.25,55,53.25,55,54.1,53.5,4800,2.57,8,2400,50
SELAN, EQ, 18-Sep-2019,151.35,151,151.3,141,143,141.95,144.82,51146,74.07,1091,31978,62.52
SELMCL, EQ, 18-Sep-2019,0.65,0.7,0.7,0.6,0.65,0.7,0.66,31328,0.21,37,28639,91.42
SEPOWER, EQ, 18-Sep-2019,2.7,2.7,2.8,2.6,2.8,2.8,2.68,558,0.01,9,558,100
SEQUENT, EQ, 18-Sep-2019,84.3,85,86.6,84.6,85,85.25,85.48,354486,303.02,2445,194767,54.94
SERVOTECH, SM, 18-Sep-2019,11.5,12,13.55,12,13.5,13.5,13.18,24000,3.16,6,8000,33.33
SESHAPAPER, EQ, 18-Sep-2019,199.85,199.85,209.5,197.25,203.6,204.45,204.39,22854,46.71,661,8099,35.44
SETCO, EQ, 18-Sep-2019,18.15,18.15,18.85,17.65,17.85,17.85,17.91,132468,23.72,665,102744,77.56
SETF10GILT, EQ, 18-Sep-2019,180.1,180.1,184.39,178.5,178.51,179.43,179.57,118,0.21,30,66,55.93
SETFGOLD, EQ, 18-Sep-2019,3403.3,3403,3410,3374.3,3385,3378.95,3394.92,2484,84.33,294,1578,63.53
SETFNIF50, EQ, 18-Sep-2019,111.56,113,113,111.22,111.68,111.64,111.57,57906,64.61,581,44581,76.99
SETFNIFBK, EQ, 18-Sep-2019,274.81,276.9,277.88,273.76,275.34,275.16,276.13,4869,13.44,131,3520,72.29
SETFNN50, EQ, 18-Sep-2019,267.88,285,285,267,269.62,269.17,268.82,3975,10.69,65,3760,94.59
SETUINFRA, BE, 18-Sep-2019,1.4,1.45,1.45,1.45,1.45,1.45,1.45,2810,0.04,5, -, -
SEYAIND, EQ, 18-Sep-2019,418.2,418,420,409.25,413.7,416.2,417.14,10962,45.73,87,638,5.82
SFL, EQ, 18-Sep-2019,1256.85,1250.05,1268.75,1223.65,1260,1260.1,1255.98,8032,100.88,835,5280,65.74
SGBAUG24, GB, 18-Sep-2019,3770.1,3750,3767,3729.05,3740,3751.21,3739.43,384,14.36,65,371,96.61
SGBAUG27, GB, 18-Sep-2019,3754.99,3750,3770,3715.03,3770,3756.69,3752.5,84,3.15,13,79,94.05
SGBDEC25, GB, 18-Sep-2019,3655.5,3660,3680,3660,3680,3680,3666.67,3,0.11,2,3,100
SGBDEC26, GB, 18-Sep-2019,3760,3635,3635,3635,3635,3635,3635,2,0.07,1,2,100
SGBFEB24, GB, 18-Sep-2019,3742.1,3745,3750,3730,3750,3750,3731.88,116,4.33,15,115,99.14
SGBFEB27, GB, 18-Sep-2019,3700,3700,3700,3700,3700,3700,3700,1,0.04,1,1,100
SGBJAN26, GB, 18-Sep-2019,3700,3710,3710,3700,3700,3700,3701.67,12,0.44,4,12,100
SGBJUL25, GB, 18-Sep-2019,3700,3725,3740,3710,3735,3735,3729.71,52,1.94,8,51,98.08
SGBJUL27, GB, 18-Sep-2019,3690,3795,3795,3795,3795,3795,3795,1,0.04,1,1,100
SGBJUN27, GB, 18-Sep-2019,3746,3652,3725,3652,3725,3725,3700.67,15,0.56,2,15,100
SGBMAR24, GB, 18-Sep-2019,3798.5,3751,3751,3746.55,3751,3746.64,3746.72,417,15.62,16,417,100
SGBMAR25, GB, 18-Sep-2019,3723.06,3720,3720,3711,3711,3712,3715.2,71,2.64,11,71,100
SGBMAY25, GB, 18-Sep-2019,3723.5,3715,3725,3710,3715,3715,3714.85,39,1.45,12,32,82.05
SGBMAY26, GB, 18-Sep-2019,3749,3651,3651,3651,3651,3651,3651,1,0.04,1,1,100
SGBNOV23, GB, 18-Sep-2019,3785,3800,3844,3780,3780,3785.98,3795.64,23,0.87,8,8,34.78
SGBNOV24, GB, 18-Sep-2019,3732.01,3712.5,3745,3712.5,3732,3722.07,3723.37,139,5.18,16,132,94.96
SGBNOV25IX, GB, 18-Sep-2019,3700,3700,3700,3700,3700,3700,3700,6,0.22,1,6,100
SGBNOV26, GB, 18-Sep-2019,3668.01,3668,3668,3655,3657,3657,3658.13,8,0.29,4,8,100
SGBOCT25, GB, 18-Sep-2019,3705,3750,3775,3690,3765,3765,3760.64,14,0.53,6,13,92.86
SGBOCT26, GB, 18-Sep-2019,3665,3725,3725,3725,3725,3725,3725,15,0.56,2,15,100
SGBSEP24, GB, 18-Sep-2019,3742.7,3711,3770,3711,3745,3736.36,3742.48,248,9.28,26,214,86.29
SGL, EQ, 18-Sep-2019,8.5,8.8,8.9,8.15,8.45,8.75,8.65,13302,1.15,25,7900,59.39
SHAHALLOYS, EQ, 18-Sep-2019,12.25,11.65,12.75,11.4,11.65,11.7,12.03,4952,0.6,56,3742,75.57
SHAKTIPUMP, EQ, 18-Sep-2019,303,303.1,318,301.35,310.35,310.8,311.11,28092,87.4,1132,7966,28.36
SHALBY, EQ, 18-Sep-2019,89.6,90.2,92.65,88.55,91.55,91.75,91.31,30981,28.29,819,15202,49.07
SHALPAINTS, EQ, 18-Sep-2019,76.45,77.6,79.2,77.1,78.6,78.95,78.13,27556,21.53,345,19958,72.43
SHANKARA, EQ, 18-Sep-2019,425.8,428.4,439.8,405.1,413.9,413.9,422.76,168722,713.29,7794,31018,18.38
SHANTIGEAR, EQ, 18-Sep-2019,90.25,90.55,94,90.45,91.4,92.25,91.65,19943,18.28,330,15979,80.12
SHARDACROP, EQ, 18-Sep-2019,305.1,305.4,307,296.1,296.1,296.45,299.65,876,2.62,141,534,60.96
SHARDAMOTR, EQ, 18-Sep-2019,947.25,977.85,977.85,938,941.2,946.45,946.64,431,4.08,78,190,44.08
SHEMAROO, EQ, 18-Sep-2019,252.1,253.5,255,244.25,255,250.65,247.34,2625,6.49,664,1401,53.37
SHILPAMED, EQ, 18-Sep-2019,253.95,252.4,253.3,242.5,244,245.1,246.83,5154,12.72,227,4170,80.91
SHIRPUR-G, BE, 18-Sep-2019,13.2,13,13.65,13,13.5,13.45,13.31,8251,1.1,34, -, -
SHIVAMAUTO, EQ, 18-Sep-2019,23.25,23.05,24.85,22.45,24.4,24.2,23.8,56576,13.47,411,27803,49.14
SHIVAMILLS, EQ, 18-Sep-2019,35.55,37.9,37.9,32.1,35.4,35.45,33.36,1219,0.41,34,1181,96.88
SHIVATEX, EQ, 18-Sep-2019,126.9,126,129.85,123,123,125.2,126.23,1419,1.79,61,654,46.09
SHK, EQ, 18-Sep-2019,129,128.95,131,127.35,129,129,129.18,16439,21.24,867,12595,76.62
SHOPERSTOP, EQ, 18-Sep-2019,396.3,400,406.45,390,390.2,396.1,400.77,10435,41.82,756,5200,49.83
SHREDIGCEM, EQ, 18-Sep-2019,16.8,17.2,17.2,16,17,16.95,16.77,27601,4.63,106,24294,88.02
SHREECEM, EQ, 18-Sep-2019,18693.45,18932.2,18932.2,18518.5,18633,18687.2,18666.52,15362,2867.55,5722,6817,44.38
SHREEPUSHK, EQ, 18-Sep-2019,103.3,106.85,106.9,103.3,103.3,103.7,104.28,12618,13.16,499,6863,54.39
SHREERAMA, EQ, 18-Sep-2019,4.5,4.65,4.7,4.45,4.55,4.5,4.53,4210,0.19,30,4038,95.91
SHRENIK, EQ, 18-Sep-2019,45.55,46.55,46.55,43.65,45.75,45.5,44.59,4113,1.83,66,2000,48.63
SHREYANIND, EQ, 18-Sep-2019,129.75,132.65,138.3,123.65,135.1,135.5,132.26,29174,38.58,1113,12071,41.38
SHREYAS, EQ, 18-Sep-2019,96.55,95.95,97.95,91.75,92.75,92.75,93.16,6101,5.68,130,4394,72.02
SHRIPISTON, BE, 18-Sep-2019,780,800,800,742,757,762,763.61,207,1.58,15, -, -
SHRIRAMCIT, EQ, 18-Sep-2019,1302.85,1324.95,1339,1301,1301,1325.05,1322.88,3078,40.72,2152,2134,69.33
SHRIRAMEPC, EQ, 18-Sep-2019,12.05,12.1,13.65,12,13.3,13.2,12.97,980589,127.16,1243,541405,55.21
SHUBHLAXMI, SM, 18-Sep-2019,153.75,152,158,151.5,156.25,155.7,155.56,28000,43.56,17,21000,75
SHYAMCENT, EQ, 18-Sep-2019,2.9,2.95,2.95,2.8,2.8,2.8,2.8,11107,0.31,26,3924,35.33
SICAGEN, BE, 18-Sep-2019,19.45,20.2,20.2,19,19.5,19.25,19.65,6784,1.33,33, -, -
SICAL, EQ, 18-Sep-2019,29.75,30.8,30.8,29.7,29.8,29.8,29.97,69933,20.96,317,55764,79.74
SIEMENS, EQ, 18-Sep-2019,1243.15,1250,1259.9,1237.1,1244.05,1247.5,1250.08,335300,4191.52,27901,99655,29.72
SIGIND, EQ, 18-Sep-2019,25.35,25.6,26,25.05,25.45,25.2,25.5,2754,0.7,41,370,13.44
SIL, BE, 18-Sep-2019,12.9,12.4,13.5,12.4,13.5,13.5,13.44,15825,2.13,43, -, -
SILINV, EQ, 18-Sep-2019,157.65,159.8,159.8,155.05,155.05,155.9,157.52,677,1.07,358,28,4.14
SIMBHALS, BE, 18-Sep-2019,7.85,8,8,7.5,7.6,7.7,7.72,7307,0.56,43, -, -
SIMPLEXINF, EQ, 18-Sep-2019,46,48.45,48.45,45.15,46.3,45.95,46.6,130424,60.77,1259,103179,79.11
SINTERCOM, SM, 18-Sep-2019,60,60,60,60,60,60,60,4000,2.4,2,4000,100
SINTEX, EQ, 18-Sep-2019,2.65,2.75,2.75,2.55,2.55,2.55,2.65,3106858,82.43,1482,1962084,63.15
SIRCA, EQ, 18-Sep-2019,183.45,184.95,186.25,184,184.5,184.15,185.69,4376,8.13,50,4375,99.98
SIS, EQ, 18-Sep-2019,859.55,853.8,875.95,848,849,849,851.33,4481,38.15,393,3572,79.71
SITASHREE, BZ, 18-Sep-2019,0.4,0.4,0.4,0.4,0.4,0.4,0.4,702,0,4, -, -
SITINET, EQ, 18-Sep-2019,2.3,2.3,2.4,2.25,2.4,2.35,2.38,237668,5.65,166,197994,83.31
SIYSIL, EQ, 18-Sep-2019,250.05,260,260,244,250,250.3,250.16,1869,4.68,122,1439,76.99
SJVN, EQ, 18-Sep-2019,26,26,26.15,25.8,26.05,26,25.97,757216,196.66,2510,464420,61.33
SKFINDIA, EQ, 18-Sep-2019,1890.2,1881.95,1906.9,1876.2,1886.05,1899.05,1897.9,4156,78.88,722,3395,81.69
SKIL, BE, 18-Sep-2019,5.95,6.1,6.1,5.7,6,6,5.78,5261,0.3,10, -, -
SKIPPER, EQ, 18-Sep-2019,55.45,55.6,56.95,55,55.6,55.35,56.11,7245,4.07,112,4138,57.12
SKMEGGPROD, EQ, 18-Sep-2019,41.5,42.85,43.65,41,41.5,41.8,42.34,11048,4.68,249,5215,47.2
SMARTLINK, EQ, 18-Sep-2019,79.4,77,81.5,77,80.5,80.65,80.26,1735,1.39,52,1063,61.27
SMLISUZU, EQ, 18-Sep-2019,587.95,586.55,596,573.15,575.05,576.85,583.11,10638,62.03,1818,6102,57.36
SMPL, BZ, 18-Sep-2019,0.25,0.25,0.25,0.2,0.2,0.2,0.2,31234,0.06,10, -, -
SMSLIFE, EQ, 18-Sep-2019,445.1,449,460,425.05,426.5,429.15,437.66,8100,35.45,608,3724,45.98
SMSPHARMA, EQ, 18-Sep-2019,47.05,47.5,48.4,47.5,48,48.05,47.8,6302,3.01,88,5478,86.92
SNOWMAN, EQ, 18-Sep-2019,28.25,28.55,28.7,27.55,28,28.05,28.08,122174,34.31,696,75681,61.95
SOBHA, EQ, 18-Sep-2019,499.9,502.8,525,496.3,519,520.85,514.7,398335,2050.22,18864,197250,49.52
SOFTTECH, SM, 18-Sep-2019,68,66.15,67.95,65.15,67.5,67.5,67.07,35200,23.61,17,22400,63.64
SOLARA, EQ, 18-Sep-2019,465.45,465.3,474,432.3,442,438.55,450.07,34560,155.54,1892,20332,58.83
SOLARINDS, EQ, 18-Sep-2019,1066.3,1067.05,1067.15,1055,1065.75,1060.35,1060.47,17668,187.36,1484,11573,65.5
SOLEX, SM, 18-Sep-2019,24.55,28.85,28.85,28.85,28.85,28.85,28.85,2000,0.58,1,2000,100
SOMANYCERA, EQ, 18-Sep-2019,204.75,207.5,209.9,204.25,204.5,205.4,207.19,80872,167.56,1700,45966,56.84
SOMATEX, BE, 18-Sep-2019,3.85,3.85,4,3.7,3.7,3.7,3.75,12551,0.47,45, -, -
SOMICONVEY, EQ, 18-Sep-2019,13.5,13.5,13.75,13.05,13.45,13.6,13.5,6846,0.92,22,6690,97.72
SONAMCLOCK, SM, 18-Sep-2019,37.5,37.5,37.5,37.5,37.5,37.5,37.5,3000,1.13,1,3000,100
SONATSOFTW, EQ, 18-Sep-2019,310.35,313,322,308.4,320,320.1,317.94,245859,781.69,7439,151810,61.75
SORILINFRA, EQ, 18-Sep-2019,104.05,108.65,109.25,103.2,109.25,109.25,108.73,87362,94.99,577,26263,30.06
SOTL, EQ, 18-Sep-2019,943.75,938,938,920.4,935,929.75,929.08,642,5.96,299,218,33.96
SOUTHBANK, EQ, 18-Sep-2019,11,11.1,11.1,10.95,11,11,11.03,2419604,266.9,2958,1189718,49.17
SOUTHWEST, EQ, 18-Sep-2019,14.85,14.85,15.4,14.15,14.15,14.15,14.97,5575,0.83,31,4766,85.49
SPAL, EQ, 18-Sep-2019,187.8,189.35,189.4,183.95,184.15,185.65,184.8,2626,4.85,93,2354,89.64
SPANDANA, EQ, 18-Sep-2019,851.2,850,864.4,845.15,850,850.55,854.44,25184,215.18,2294,18106,71.89
SPARC, EQ, 18-Sep-2019,160.75,162,163.8,158.75,159,159.85,161,414693,667.65,5801,91866,22.15
SPCENET, BE, 18-Sep-2019,0.8,0.8,0.85,0.8,0.85,0.85,0.8,15741,0.13,21, -, -
SPECIALITY, EQ, 18-Sep-2019,66.85,69.05,70.4,67.9,67.9,68.2,68.75,8909,6.12,259,3800,42.65
SPENCERS, EQ, 18-Sep-2019,84.75,85,86.95,82.55,83,83.3,84.39,36134,30.49,736,21954,60.76
SPENTEX, BE, 18-Sep-2019,0.5,0.5,0.5,0.45,0.5,0.5,0.47,12362,0.06,21, -, -
SPIC, EQ, 18-Sep-2019,20.8,21.25,21.3,20.5,20.7,20.75,20.77,11265,2.34,97,7281,64.63
SPICEJET, EQ, 18-Sep-2019,124.4,128,129.1,126,127,126.95,127.13,513269,652.52,5736,211148,41.14
SPLIL, EQ, 18-Sep-2019,35.65,36.9,38,35.7,36,35.8,36.1,14785,5.34,183,10243,69.28
SPMLINFRA, EQ, 18-Sep-2019,13.35,13.55,13.55,12.75,12.8,12.95,13.05,26530,3.46,195,18207,68.63
SPTL, EQ, 18-Sep-2019,5.5,5.75,5.75,5.25,5.25,5.25,5.47,5411552,296.09,4323,3015112,55.72
SPYL, BE, 18-Sep-2019,0.25,0.25,0.3,0.2,0.25,0.25,0.22,158708,0.35,44, -, -
SREEL, EQ, 18-Sep-2019,185.15,182.05,187.1,181.05,184.6,182.4,184.02,3942,7.25,163,3011,76.38
SREIBNPNCD, N7, 18-Sep-2019,890.09,940.6,940.6,940.6,940.6,940.6,940.6,10,0.09,1,10,100
SREIBNPNCD, NH, 18-Sep-2019,1113.2,1155.6,1155.6,1155.6,1155.6,1155.6,1155.6,28,0.32,2,28,100
SREIBNPNCD, NO, 18-Sep-2019,710,725,725,725,725,725,725,10,0.07,1,10,100
SREIBNPNCD, NV, 18-Sep-2019,665,650,650,650,650,650,650,5,0.03,1,5,100
SREINFRA, EQ, 18-Sep-2019,12.3,12.2,12.8,12,12.15,12.2,12.3,641417,78.88,3121,323566,50.45
SREINFRA, NW, 18-Sep-2019,976,970.6,972,970.6,971.6,971.88,971.24,100,0.97,4,100,100
SREINFRA, Y1, 18-Sep-2019,725,715,730,710,730,730,715.21,24,0.17,8,24,100
SREINFRA, Y6, 18-Sep-2019,905,905,937,905,937,937,931.4,150,1.4,5,150,100
SREINFRA, Y9, 18-Sep-2019,720.02,715,715,715,715,715,715,10,0.07,2,10,100
SREINFRA, YI, 18-Sep-2019,703,840.11,840.11,840.1,840.1,840.1,840.1,40,0.34,4,40,100
SREINFRA, YM, 18-Sep-2019,690,691,691,591,591,591,600.75,1279,7.68,16,1181,92.34
SRF, EQ, 18-Sep-2019,2734.55,2752.95,2784.65,2710.4,2738.95,2740.4,2748.17,261780,7194.16,16574,34615,13.22
SRHHYPOLTD, EQ, 18-Sep-2019,113.55,113,114.6,111.55,114,113.35,113.25,3420,3.87,45,1059,30.96
SRIPIPES, EQ, 18-Sep-2019,183.75,184.8,187.95,180.55,184.45,183.2,183.89,27031,49.71,657,13472,49.84
SRSLTD, BZ, 18-Sep-2019,0.15,0.15,0.2,0.15,0.2,0.2,0.18,72836,0.13,46, -, -
SRTRANSFIN, EQ, 18-Sep-2019,1022.05,1034.8,1042.15,1023.1,1034.8,1036.9,1032.93,540241,5580.32,19362,99199,18.36
SRTRANSFIN, Y3, 18-Sep-2019,1046.1,1059,1059.5,1056,1056,1056,1058.29,285,3.02,4,285,100
SRTRANSFIN, Y9, 18-Sep-2019,1020,1018,1026,1017,1025.45,1025.12,1024.64,477,4.89,13,457,95.81
SRTRANSFIN, YB, 18-Sep-2019,1018.1,1015.06,1015.06,1015.05,1015.05,1015.05,1015.05,75,0.76,2,75,100
SRTRANSFIN, YH, 18-Sep-2019,945.9,944.55,944.55,940,943.65,943.65,943.19,4,0.04,3,4,100
SRTRANSFIN, YI, 18-Sep-2019,949.96,950,952,950,952,952,951.33,75,0.71,2,75,100
SRTRANSFIN, YJ, 18-Sep-2019,976.49,973.5,973.5,973.5,973.5,973.5,973.5,4,0.04,1,4,100
SRTRANSFIN, YL, 18-Sep-2019,940,940,948,926,926,926,944.55,310,2.93,6,300,96.77
SRTRANSFIN, YO, 18-Sep-2019,947.81,950.1,950.1,948,948,948,948.03,795,7.54,10,795,100
SRTRANSFIN, YP, 18-Sep-2019,934.9,930,934.8,930,934.8,931.15,930.6,104,0.97,4,104,100
SRTRANSFIN, YQ, 18-Sep-2019,1025.01,1020,1030,1020,1025,1025,1024.62,130,1.33,5,130,100
SRTRANSFIN, YV, 18-Sep-2019,965,975,975,945,945,945,957.5,120,1.15,4,120,100
SRTRANSFIN, YX, 18-Sep-2019,1000.5,1000.5,1000.5,1000.5,1000.5,1000.5,1000.5,15,0.15,1,15,100
SRTRANSFIN, YY, 18-Sep-2019,951.79,978,990,975,990,985.88,981.34,503,4.94,15,503,100
SRTRANSFIN, Z2, 18-Sep-2019,985,975,975,975,975,975,975,10,0.1,1,10,100
SSINFRA, SM, 18-Sep-2019,16.35,15.25,16.5,15.25,16.5,15.85,15.56,12000,1.87,4,3000,25
SSWL, EQ, 18-Sep-2019,780.9,797.8,797.8,776.2,776.2,779.5,780.21,1942,15.15,401,917,47.22
STAMPEDE, EQ, 18-Sep-2019,0.8,0.75,0.8,0.75,0.75,0.75,0.79,71034,0.56,21,53143,74.81
STAN, DR, 18-Sep-2019,58.25,57.6,58.55,57,58.55,57.95,57.61,4818,2.78,66,3523,73.12
STAR, EQ, 18-Sep-2019,366.15,372,372,360.55,367.2,366.45,365.1,1351028,4932.6,19657,65179,4.82
STARCEMENT, EQ, 18-Sep-2019,92.3,92.3,93.2,89.15,91,90.2,91.15,94930,86.52,1386,77665,81.81
STARPAPER, EQ, 18-Sep-2019,128.2,131.5,140.45,128.3,138,137.65,136.53,516035,704.55,7951,132369,25.65
STCINDIA, EQ, 18-Sep-2019,107.4,103.05,106.15,90.55,94.75,93,96.39,2960646,2853.76,31208,249957,8.44
STEELCITY, EQ, 18-Sep-2019,36.65,36.1,36.6,35.1,35.85,36.15,35.88,396,0.14,22,250,63.13
STEELXIND, EQ, 18-Sep-2019,12.05,11.65,12.35,11.1,11.55,11.6,11.82,14120,1.67,107,11608,82.21
STEL, EQ, 18-Sep-2019,72.5,74,74,72.1,72.7,72.7,72.95,880,0.64,44,702,79.77
STERTOOLS, EQ, 18-Sep-2019,150.95,155.65,164.8,147.4,164.8,164.15,160.7,17076,27.44,796,8755,51.27
STINDIA, EQ, 18-Sep-2019,7.05,6.7,6.7,6.7,6.7,6.7,6.7,5,0,1,5,100
STRTECH, EQ, 18-Sep-2019,149.75,151.4,159.5,151.4,159.5,158.15,156.33,2713556,4242.13,30411,915362,33.73
SUBEX, EQ, 18-Sep-2019,5.5,5.6,5.6,5.5,5.55,5.6,5.55,269442,14.96,2208,181102,67.21
SUBROS, EQ, 18-Sep-2019,228.4,230,231.5,218.3,219.85,221.2,222.65,38415,85.53,1897,15692,40.85
SUDARSCHEM, EQ, 18-Sep-2019,342.85,345.2,346,336,337.55,338.25,339.47,27966,94.94,996,18219,65.15
SUJANAUNI, BE, 18-Sep-2019,0.15,0.1,0.2,0.1,0.2,0.2,0.16,183913,0.29,26, -, -
SUMEETINDS, EQ, 18-Sep-2019,2.9,3,3.05,2.5,2.6,2.65,2.8,116657,3.26,301,98520,84.45
SUMIT, EQ, 18-Sep-2019,18.35,19,19,19,19,19,19,45,0.01,2,45,100
SUMMITSEC, EQ, 18-Sep-2019,481.1,472.55,482.05,472.55,473.05,473.7,474.59,138,0.65,13,118,85.51
SUNCLAYLTD, EQ, 18-Sep-2019,1974.9,1984,1984,1911.1,1912.1,1925.4,1953.03,439,8.57,234,199,45.33
SUNDARAM, EQ, 18-Sep-2019,1.4,1.4,1.45,1.35,1.45,1.45,1.41,181701,2.56,79,121455,66.84
SUNDARMFIN, EQ, 18-Sep-2019,1489.95,1501.05,1503.55,1452.05,1469.9,1477.55,1475.54,27154,400.67,1274,17298,63.7
SUNDARMHLD, EQ, 18-Sep-2019,77.2,76.25,78,76.25,76.5,76.8,76.92,5071,3.9,65,3021,59.57
SUNDRMBRAK, EQ, 18-Sep-2019,271.9,272,297.85,266.25,273,268.45,271.74,1026,2.79,245,483,47.08
SUNDRMFAST, EQ, 18-Sep-2019,432,432,437.6,425.95,434,430.55,431.38,39268,169.39,1927,21626,55.07
SUNFLAG, EQ, 18-Sep-2019,31.25,31,31.7,30.55,30.55,30.6,30.85,28498,8.79,628,16001,56.15
SUNPHARMA, EQ, 18-Sep-2019,420.65,423.9,424.6,414.25,417.3,416.8,418.55,3728621,15606.19,70685,840591,22.54
SUNTECK, EQ, 18-Sep-2019,438.5,446.95,458,440.5,446,448.95,450.87,438770,1978.28,6943,190901,43.51
SUNTV, EQ, 18-Sep-2019,436.8,434.7,439.4,425.55,427.55,430.8,430.97,1321223,5694.11,20136,166422,12.6
SUPERHOUSE, EQ, 18-Sep-2019,84.35,84.5,85,80.65,80.65,81.7,82.63,6111,5.05,202,5171,84.62
SUPERSPIN, EQ, 18-Sep-2019,3.95,4,4,3.9,4,3.95,3.94,14137,0.56,39,11297,79.91
SUPPETRO, EQ, 18-Sep-2019,174.95,173.05,176.9,171.5,174,174.15,174.08,8530,14.85,187,6331,74.22
SUPRAJIT, EQ, 18-Sep-2019,165.6,166,168.15,165,166.5,167.05,166.9,17110,28.56,802,12013,70.21
SUPREMEENG, SM, 18-Sep-2019,28,29,29,29,29,29,29,8000,2.32,1,8000,100
SUPREMEIND, EQ, 18-Sep-2019,1128.35,1138.5,1138.5,1107,1115,1115.45,1124.17,29450,331.07,2232,23479,79.72
SUPREMEINF, BE, 18-Sep-2019,14,13.9,13.9,13.5,13.5,13.5,13.58,3420,0.46,22, -, -
SURANASOL, EQ, 18-Sep-2019,6.35,6.3,6.5,6.15,6.3,6.3,6.32,3281,0.21,422,3196,97.41
SURANAT&P, EQ, 18-Sep-2019,3.7,3.45,3.85,3.45,3.7,3.7,3.57,4834,0.17,14,3831,79.25
SURANI, SM, 18-Sep-2019,36.5,35.5,36,35.5,36,36,35.75,4000,1.43,2,4000,100
SURYALAXMI, EQ, 18-Sep-2019,21,20.5,21.35,19.45,21.25,20.35,20.13,2127,0.43,54,1270,59.71
SURYAROSNI, EQ, 18-Sep-2019,179.3,180.2,187.8,180,180.6,180.75,183.79,65848,121.03,1644,18874,28.66
SUTLEJTEX, EQ, 18-Sep-2019,29.4,29.05,30.9,27.8,28.85,28.15,28.5,6227,1.77,105,4890,78.53
SUULD, SM, 18-Sep-2019,18.2,18.25,18.25,18.2,18.2,18.2,18.23,32000,5.83,4,0,0
SUVEN, EQ, 18-Sep-2019,284.2,286.9,289.8,277,279.15,279.7,283.25,214082,606.38,3942,80388,37.55
SUZLON, EQ, 18-Sep-2019,3.05,3.05,3.1,3,3.05,3.05,3.05,6292313,192.23,8418,2451012,38.95
SVLL, SM, 18-Sep-2019,118.15,118.1,118.1,118.1,118.1,118.1,118.1,3000,3.54,1,3000,100
SWANENERGY, EQ, 18-Sep-2019,102.1,102,103.25,99,99.25,100.15,101.34,227822,230.87,2053,92047,40.4
SWARAJENG, EQ, 18-Sep-2019,1174.25,1193,1193,1150,1151,1155.95,1163.63,1384,16.1,305,901,65.1
SWELECTES, EQ, 18-Sep-2019,127.55,125.6,129.85,122.35,125.7,124.45,124.34,11014,13.69,323,6686,60.7
SWSOLAR, EQ, 18-Sep-2019,610,606,630,605.35,610,609.35,615.05,26221,161.27,1636,15834,60.39
SYMPHONY, EQ, 18-Sep-2019,1219.9,1221.3,1244.8,1220,1230,1233.4,1231.11,5270,64.88,553,3521,66.81
SYNCOM, BE, 18-Sep-2019,0.95,0.95,1,0.9,0.95,0.95,0.95,11110,0.11,34, -, -
SYNDIBANK, EQ, 18-Sep-2019,30.45,30.5,30.9,30,30.05,30.2,30.39,1013498,308.02,4257,360248,35.55
SYNGENE, EQ, 18-Sep-2019,306.2,307.6,312.15,306.85,309,309.7,309.9,71882,222.76,16089,54507,75.83
TAINWALCHM, EQ, 18-Sep-2019,51.5,50.1,54,47.6,53,50.3,49.67,331,0.16,52,105,31.72
TAJGVK, EQ, 18-Sep-2019,147.45,157.4,164.65,155,156.15,156.25,159.57,844221,1347.15,11762,93957,11.13
TAKE, EQ, 18-Sep-2019,124.35,125.85,126.6,120.15,121,121.4,123.36,110795,136.67,3294,49338,44.53
TALBROAUTO, EQ, 18-Sep-2019,115.75,115.9,116.7,112.3,115,114.8,114.74,2870,3.29,269,1652,57.56
TALWALKARS, BE, 18-Sep-2019,5.2,4.95,4.95,4.95,4.95,4.95,4.95,20959,1.04,71, -, -
TALWGYM, EQ, 18-Sep-2019,8.8,8.4,8.4,8.4,8.4,8.4,8.4,5467,0.46,48,5467,100
TANLA, EQ, 18-Sep-2019,54.3,54.7,55.9,54.1,54.75,55.05,55.18,124647,68.78,798,66239,53.14
TANTIACONS, BE, 18-Sep-2019,1.8,1.8,1.8,1.75,1.75,1.75,1.79,1032,0.02,6, -, -
TARAPUR, BE, 18-Sep-2019,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5,0,1, -, -
TARMAT, BE, 18-Sep-2019,26.1,24.85,27,24.8,24.8,24.8,24.82,2274,0.56,26, -, -
TASTYBITE, EQ, 18-Sep-2019,8305,8291,8448,8227,8440,8418.8,8366.29,112,9.37,69,52,46.43
TATACHEM, EQ, 18-Sep-2019,576.5,576.7,585.5,574.25,583,581.85,580.6,236826,1375.01,6761,46478,19.63
TATACOFFEE, EQ, 18-Sep-2019,78.85,80.1,81.2,79.3,80.6,80.2,80.33,241839,194.26,2447,88852,36.74
